#EXPORTTYPE:DATA ALL
#FILE:60CP60012CoPU3GPM-1C.ngb-ss4
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:60CP60012CoPU3GPM-1C
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DTA
#INSTRUMENT:NETZSCH STA 2500
#PROJECT:HÉCTOR ROMERO
#DATE/TIME:05.02.2020 11:55
#CORR. FILE:
#TEMPCAL:cal prueba.ngb-ts4
#SENSITIVITY:prueba cal sensibilidad.ngb-es4
#LABORATORY:ESIQIE
#OPERATOR:wendynoemi
#REMARK:
#SAMPLE:60CP60012CoPU3GPM-1C
#SAMPLE MASS /mg:4.910
#MATERIAL:ALUMINA
#REFERENCE:Crisol+Alumina
#REFERENCE MASS /mg:14.783
#TYPE OF CRUCIBLE:Al2O3 pan for STA2500
#SAMPLE CRUCIBLE MASS /mg:37.990
#REFERENCE CRUCIBLE MASS /mg:43.950
#TG RANGE /mg:500
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:20°C....700°C/-10.0....10.0K/min
#SEGMENT:S1-4/4
#SEG. 1:20°C/10.0(K/min)/150°C
#SEG. 2:150°C/00:30/150°C
#SEG. 3:150°C/10.0(K/min)/30°C
#SEG. 4:30°C/3.0(K/min)/700°C

##Temp./°C;Time/min;DTA/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);DTG/(%/min);Sensit./(uV/mW);Segment
 21.41200;  0.00000; 5.95931;100.00000; 0.000000e+000;      75.00000;75.00000;       1.63426;0.92259;1
 21.62000;  0.25000; 5.99330; 99.85018; 0.000000e+000;      75.00000;75.00000;       0.45501;0.92283;1
 22.67500;  0.50000; 6.08153; 99.98159; 0.000000e+000;      75.00000;75.00000;      -0.68165;0.92403;1
 24.35700;  0.75000; 6.17692; 99.73051; 0.000000e+000;      75.00000;75.00000;      -1.56940;0.92593;1
 26.51400;  1.00000; 6.21718; 99.48546; 0.000000e+000;      75.00000;75.00000;      -0.10697;0.92836;1
 29.00600;  1.25000; 6.22850; 99.40644; 0.000000e+000;      75.00000;75.00000;      -0.71542;0.93114;1
 31.67300;  1.50000; 6.22634; 99.21067; 0.000000e+000;      75.00000;75.00000;      -1.11105;0.93408;1
 34.49100;  1.75000; 6.22645; 99.20163; 0.000000e+000;      75.00000;75.00000;       0.20641;0.93716;1
 37.35300;  2.00000; 6.22730; 99.18143; 0.000000e+000;      75.00000;75.00000;       0.21702;0.94025;1
 40.19800;  2.25000; 6.24087; 99.25385; 0.000000e+000;      75.00000;75.00000;      -0.44011;0.94328;1
 43.02300;  2.50000; 6.26391; 99.22705; 0.000000e+000;      75.00000;75.00000;       0.26048;0.94626;1
 45.77900;  2.75000; 6.28819; 99.23747; 0.000000e+000;      75.00000;75.00000; 4.682479e-002;0.94913;1
 48.49200;  3.00000; 6.31316; 99.18420; 0.000000e+000;      75.00000;75.00000;      -0.52659;0.95193;1
 51.14500;  3.25000; 6.33943; 99.24692; 0.000000e+000;      75.00000;75.00000;      -0.74466;0.95462;1
 53.77100;  3.50000; 6.36562; 99.30281; 0.000000e+000;      75.00000;75.00000;       0.49246;0.95726;1
 56.36500;  3.75000; 6.38886; 99.33637; 0.000000e+000;      75.00000;75.00000;       0.67014;0.95984;1
 58.91800;  4.00000; 6.41552; 99.24383; 0.000000e+000;      75.00000;75.00000;       0.89459;0.96234;1
 61.45400;  4.25000; 6.43979; 99.31625; 0.000000e+000;      75.00000;75.00000;      -0.49742;0.96479;1
 63.97600;  4.50000; 6.46423; 99.27625; 0.000000e+000;      75.00000;75.00000;      -0.92848;0.96720;1
 66.48400;  4.75000; 6.48451; 99.30778; 0.000000e+000;      75.00000;75.00000;       0.33727;0.96957;1
 68.97800;  5.00000; 6.50611; 99.39014; 0.000000e+000;      75.00000;75.00000;       0.39693;0.97189;1
 71.48300;  5.25000; 6.52727; 99.36847; 0.000000e+000;      75.00000;75.00000;      -0.40774;0.97419;1
 73.99100;  5.50000; 6.54789; 99.41320; 0.000000e+000;      75.00000;75.00000;      -0.53050;0.97646;1
 76.49300;  5.75000; 6.56865; 99.38118; 0.000000e+000;      75.00000;75.00000;       0.13450;0.97870;1
 78.99100;  6.00000; 6.59020; 99.41971; 0.000000e+000;      75.00000;75.00000;-6.887109e-002;0.98090;1
 81.51200;  6.25000; 6.60983; 99.53409; 0.000000e+000;      75.00000;75.00000;       0.35913;0.98309;1
 84.02500;  6.50000; 6.63059; 99.45141; 0.000000e+000;      75.00000;75.00000;      -0.14799;0.98524;1
 86.55000;  6.75000; 6.64874; 99.42819; 0.000000e+000;      75.00000;75.00000;      -0.32160;0.98736;1
 89.06600;  7.00000; 6.66865; 99.48163; 0.000000e+000;      75.00000;75.00000;       0.36380;0.98945;1
 91.60600;  7.25000; 6.68732; 99.49507; 0.000000e+000;      75.00000;75.00000;      -0.28191;0.99152;1
 94.12400;  7.50000; 6.70470; 99.55210; 0.000000e+000;      75.00000;75.00000;       1.05191;0.99353;1
 96.65800;  7.75000; 6.72168; 99.55739; 0.000000e+000;      75.00000;75.00000;       0.50998;0.99553;1
 99.16600;  8.00000; 6.74068; 99.60098; 0.000000e+000;      75.00000;75.00000;      -0.62930;0.99747;1
101.70100;  8.25000; 6.75752; 99.62705; 0.000000e+000;      75.00000;75.00000;       0.17112;0.99940;1
104.20600;  8.50000; 6.77515; 99.57947; 0.000000e+000;      75.00000;75.00000;       0.81894;1.00128;1
106.68900;  8.75000; 6.79197; 99.53589; 0.000000e+000;      75.00000;75.00000;      -0.73878;1.00310;1
109.18900;  9.00000; 6.81042; 99.64407; 0.000000e+000;      75.00000;75.00000;      -0.48846;1.00490;1
111.67800;  9.25000; 6.82076; 99.65678; 0.000000e+000;      75.00000;75.00000;      -0.53925;1.00665;1
114.17000;  9.50000; 6.83267; 99.67666; 0.000000e+000;      75.00000;75.00000;      -0.45784;1.00838;1
116.67200;  9.75000; 6.84796; 99.71128; 0.000000e+000;      75.00000;75.00000;       0.30862;1.01008;1
119.16000; 10.00000; 6.86412; 99.77548; 0.000000e+000;      75.00000;75.00000;      -0.14314;1.01173;1
121.66800; 10.25000; 6.88068; 99.79503; 0.000000e+000;      75.00000;75.00000;       1.22903;1.01336;1
124.17800; 10.50000; 6.89589; 99.79992; 0.000000e+000;      75.00000;75.00000;      -0.61740;1.01495;1
126.67700; 10.75000; 6.91074; 99.79422; 0.000000e+000;      75.00000;75.00000;       0.28391;1.01650;1
129.20100; 11.00000; 6.92522; 99.76244; 0.000000e+000;      75.00000;75.00000;       0.37720;1.01804;1
131.70500; 11.25000; 6.94502; 99.80383; 0.000000e+000;      75.00000;75.00000; 3.330411e-002;1.01952;1
134.21500; 11.50000; 6.96362; 99.85018; 0.000000e+000;      75.00000;75.00000;      -0.76436;1.02097;1
136.73100; 11.75000; 6.98164; 99.86998; 0.000000e+000;      75.00000;75.00000;       0.70615;1.02238;1
139.24500; 12.00000; 6.99850; 99.82167; 0.000000e+000;      75.00000;75.00000;       0.17812;1.02376;1
141.77600; 12.25000; 7.01127; 99.79112; 0.000000e+000;      75.00000;75.00000;       0.12618;1.02511;1
144.28500; 12.50000; 7.02827; 99.83153; 0.000000e+000;      75.00000;75.00000;      -1.22183;1.02641;1
146.80701; 12.75000; 7.04378; 99.86444; 0.000000e+000;      75.00000;75.00000;      -0.26621;1.02768;1
149.30811; 13.00000; 7.05591; 99.91492; 0.000000e+000;      75.00000;75.00000;       1.35599;1.02890;2
151.44089; 13.25000; 7.09431; 99.91404; 0.000000e+000;      75.00000;75.00000;       0.14201;1.02991;2
152.28702; 13.50000; 7.17929; 99.94179; 0.000000e+000;      75.00000;75.00000;-9.576611e-002;1.03031;2
152.53103; 13.75000; 7.25645; 99.95769; 0.000000e+000;      75.00000;75.00000;       0.23946;1.03042;2
152.42164; 14.00000; 7.31074; 99.99571; 0.000000e+000;      75.00000;75.00000;-3.893801e-002;1.03037;2
152.11483; 14.25000; 7.34758; 99.95346; 0.000000e+000;      75.00000;75.00000;       0.20631;1.03023;2
151.71977; 14.50000; 7.36390;100.01183; 0.000000e+000;      75.00000;75.00000;       0.12821;1.03004;2
151.35496; 14.75000; 7.36533; 99.98368; 0.000000e+000;      75.00000;75.00000; 6.403595e-002;1.02987;2
150.99426; 15.00000; 7.34725;100.09124; 0.000000e+000;      75.00000;75.00000;       0.22771;1.02970;2
150.70867; 15.25000; 7.33161;100.13216; 0.000000e+000;      75.00000;75.00000;      -0.10826;1.02957;2
150.48127; 15.50000; 7.31718;100.09091; 0.000000e+000;      75.00000;75.00000; 9.601452e-002;1.02946;2
150.29677; 15.75000; 7.29809;100.17741; 0.000000e+000;      75.00000;75.00000;       0.28956;1.02937;2
150.19193; 16.00000; 7.27903;100.26134; 0.000000e+000;      75.00000;75.00000;       0.13335;1.02932;2
150.10865; 16.25000; 7.26144;100.28857; 0.000000e+000;      75.00000;75.00000; 4.229838e-002;1.02929;2
150.05012; 16.50000; 7.24467;100.25948; 0.000000e+000;      75.00000;75.00000; 7.442783e-002;1.02926;2
150.01366; 16.75000; 7.23111;100.28771; 0.000000e+000;      75.00000;75.00000; 3.663625e-002;1.02924;2
150.01040; 17.00000; 7.21916;100.30723; 0.000000e+000;      75.00000;75.00000;       0.11759;1.02924;2
149.99443; 17.25000; 7.20878;100.30608; 0.000000e+000;      75.00000;75.00000;       0.13254;1.02923;2
150.01388; 17.50000; 7.20009;100.32262; 0.000000e+000;      75.00000;75.00000;       0.11722;1.02924;2
150.00467; 17.75000; 7.19264;100.32234; 0.000000e+000;      75.00000;75.00000;-1.174490e-002;1.02924;2
150.03862; 18.00000; 7.18421;100.36507; 0.000000e+000;      75.00000;75.00000; 7.904151e-002;1.02925;2
150.03020; 18.25000; 7.17977;100.34187; 0.000000e+000;      75.00000;75.00000; 9.704813e-002;1.02925;2
150.05434; 18.50000; 7.17347;100.41958; 0.000000e+000;      75.00000;75.00000;       0.14900;1.02926;2
150.05231; 18.75000; 7.16969;100.47465; 0.000000e+000;      75.00000;75.00000;       0.13930;1.02926;2
150.05802; 19.00000; 7.16544;100.50700; 0.000000e+000;      75.00000;75.00000;-7.593231e-002;1.02926;2
150.06337; 19.25000; 7.16231;100.48284; 0.000000e+000;      75.00000;75.00000;       0.23147;1.02926;2
150.05530; 19.50000; 7.15774;100.52441; 0.000000e+000;      75.00000;75.00000;       0.11479;1.02926;2
150.04885; 19.75000; 7.15538;100.48255; 0.000000e+000;      75.00000;75.00000; 1.691478e-003;1.02926;2
150.04585; 20.00000; 7.15227;100.51234; 0.000000e+000;      75.00000;75.00000; 8.691560e-002;1.02926;2
150.06281; 20.25000; 7.14749;100.61259; 0.000000e+000;      75.00000;75.00000; 8.971216e-002;1.02926;2
150.05379; 20.50000; 7.14435;100.62789; 0.000000e+000;      75.00000;75.00000;       0.14404;1.02926;2
150.05060; 20.75000; 7.14200;100.61142; 0.000000e+000;      75.00000;75.00000;-1.638178e-002;1.02926;2
150.05331; 21.00000; 7.13865;100.61941; 0.000000e+000;      75.00000;75.00000;       0.11591;1.02926;2
150.05544; 21.25000; 7.13533;100.63607; 0.000000e+000;      75.00000;75.00000;-3.582155e-002;1.02926;2
150.05150; 21.50000; 7.13142;100.63293; 0.000000e+000;      75.00000;75.00000;       0.19406;1.02926;2
150.02761; 21.75000; 7.13044;100.71919; 0.000000e+000;      75.00000;75.00000;-5.443786e-002;1.02925;2
150.03840; 22.00000; 7.12865;100.72387; 0.000000e+000;      75.00000;75.00000;       0.11834;1.02925;2
150.02603; 22.25000; 7.12715;100.74972; 0.000000e+000;      75.00000;75.00000; 7.015738e-002;1.02925;2
150.02013; 22.50000; 7.12527;100.77968; 0.000000e+000;      75.00000;75.00000;       0.22832;1.02924;2
150.02763; 22.75000; 7.12395;100.83100; 0.000000e+000;      75.00000;75.00000; 9.136501e-002;1.02925;2
150.04020; 23.00000; 7.12221;100.80577; 0.000000e+000;      75.00000;75.00000;       0.26918;1.02925;2
150.04599; 23.25000; 7.11963;100.92893; 0.000000e+000;      75.00000;75.00000;-3.729110e-002;1.02926;2
150.03095; 23.50000; 7.11884;100.84538; 0.000000e+000;      75.00000;75.00000; 8.836979e-002;1.02925;2
150.03497; 23.75000; 7.11807;100.88292; 0.000000e+000;      75.00000;75.00000;       0.12827;1.02925;2
150.01548; 24.00000; 7.11629;100.93355; 0.000000e+000;      75.00000;75.00000; 8.249329e-002;1.02924;2
150.03485; 24.25000; 7.11490;100.96396; 0.000000e+000;      75.00000;75.00000; 9.098696e-002;1.02925;2
150.02717; 24.50000; 7.11303;100.96992; 0.000000e+000;      75.00000;75.00000; 1.833238e-003;1.02925;2
150.02636; 24.75000; 7.11322;100.95120; 0.000000e+000;      75.00000;75.00000; 9.561647e-002;1.02925;2
150.02731; 25.00000; 7.11200;101.03113; 0.000000e+000;      75.00000;75.00000;       0.11793;1.02925;2
150.03521; 25.25000; 7.11261;101.01433; 0.000000e+000;      75.00000;75.00000;       0.21267;1.02925;2
150.04485; 25.50000; 7.11074;101.08448; 0.000000e+000;      75.00000;75.00000;-1.413819e-002;1.02926;2
150.03917; 25.75000; 7.11107;101.01818; 0.000000e+000;      75.00000;75.00000;       0.10014;1.02925;2
150.03705; 26.00000; 7.10941;101.13209; 0.000000e+000;      75.00000;75.00000;       0.10612;1.02925;2
150.02215; 26.25000; 7.11053;101.06531; 0.000000e+000;      75.00000;75.00000; 9.985705e-003;1.02924;2
150.02227; 26.50000; 7.10922;101.12103; 0.000000e+000;      75.00000;75.00000; 1.019962e-002;1.02924;2
150.01503; 26.75000; 7.10698;101.12066; 0.000000e+000;      75.00000;75.00000;       0.19381;1.02924;2
150.02547; 27.00000; 7.10658;101.20471; 0.000000e+000;      75.00000;75.00000; 3.546502e-002;1.02925;2
150.02477; 27.25000; 7.10683;101.14897; 0.000000e+000;      75.00000;75.00000;-4.334819e-002;1.02925;2
150.03141; 27.50000; 7.10707;101.21485; 0.000000e+000;      75.00000;75.00000;       0.16189;1.02925;2
150.04652; 27.75000; 7.10344;101.21541; 0.000000e+000;      75.00000;75.00000; 2.556479e-002;1.02926;2
150.02573; 28.00000; 7.10536;101.24300; 0.000000e+000;      75.00000;75.00000;       0.30072;1.02925;2
150.02770; 28.25000; 7.10656;101.26704; 0.000000e+000;      75.00000;75.00000; 2.721113e-002;1.02925;2
150.01389; 28.50000; 7.10393;101.30232; 0.000000e+000;      75.00000;75.00000;       0.13469;1.02924;2
150.00711; 28.75000; 7.10273;101.31779; 0.000000e+000;      75.00000;75.00000; 4.222102e-002;1.02924;2
150.01940; 29.00000; 7.10286;101.37066; 0.000000e+000;      75.00000;75.00000;       0.10084;1.02924;2
150.00193; 29.25000; 7.10422;101.33374; 0.000000e+000;      75.00000;75.00000;       0.14479;1.02923;2
150.00027; 29.50000; 7.10333;101.37765; 0.000000e+000;      75.00000;75.00000; 4.520356e-002;1.02923;2
150.01645; 29.75000; 7.10238;101.37634; 0.000000e+000;      75.00000;75.00000; 2.018185e-002;1.02924;2
